Tarih,NoktaId,NoktaTanimi,ParametreAdi,Birim,Deger,Standart
05.11.2025,5,İzsu Narlıdere Teknik Amirlik,C.perfringens,Sayı/100 ml,0,0
05.11.2025,5,İzsu Narlıdere Teknik Amirlik,Toplam sertlik,Fr,29,---
05.11.2025,5,İzsu Narlıdere Teknik Amirlik,Klorür (Cl⁻),mg/L,29,250
05.11.2025,5,İzsu Narlıdere Teknik Amirlik,Alüminyum (Al),µg/L,"10,89",200
05.11.2025,5,İzsu Narlıdere Teknik Amirlik,İletkenlik,µS/cm,595 (25 °C),2500
05.11.2025,5,İzsu Narlıdere Teknik Amirlik,Tuzluluk,%0,0,---
05.11.2025,5,İzsu Narlıdere Teknik Amirlik,Nitrit (NO₂),mg/L,<0.13,"0,5"
05.11.2025,5,İzsu Narlıdere Teknik Amirlik,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
05.11.2025,6,M.Pasa Cad. İle Hüseyin Ögütcen Kavşağı,Alüminyum (Al),µg/L,"8,90",200
05.11.2025,6,M.Pasa Cad. İle Hüseyin Ögütcen Kavşağı,Renk, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,6,M.Pasa Cad. İle Hüseyin Ögütcen Kavşağı,Koliform Bakteri, ,0,0
05.11.2025,6,M.Pasa Cad. İle Hüseyin Ögütcen Kavşağı,Koliform Bakteri, ,0,0
05.11.2025,6,M.Pasa Cad. İle Hüseyin Ögütcen Kavşağı,Bulanıklık, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,6,M.Pasa Cad. İle Hüseyin Ögütcen Kavşağı,Tuzluluk,%0,0,---
05.11.2025,6,M.Pasa Cad. İle Hüseyin Ögütcen Kavşağı,Nitrit (NO₂),mg/L,<0.13,"0,5"
05.11.2025,6,M.Pasa Cad. İle Hüseyin Ögütcen Kavşağı,E.coli,Sayı/100 ml,0,0
05.11.2025,6,M.Pasa Cad. İle Hüseyin Ögütcen Kavşağı,E.coli,Sayı/100 ml,0,0
05.11.2025,6,M.Pasa Cad. İle Hüseyin Ögütcen Kavşağı,Klorür (Cl⁻),mg/L,29,250
05.11.2025,6,M.Pasa Cad. İle Hüseyin Ögütcen Kavşağı,Oksitlenebilirlik,mg/L O2,"0,6",5
05.11.2025,6,M.Pasa Cad. İle Hüseyin Ögütcen Kavşağı,Arsenik (As),µg/L,"3,85",10
05.11.2025,6,M.Pasa Cad. İle Hüseyin Ögütcen Kavşağı,pH, ,"7,5 (23 °C)","6,5-9,5"
05.11.2025,6,M.Pasa Cad. İle Hüseyin Ögütcen Kavşağı,Toplam sertlik,Fr,30,---
05.11.2025,6,M.Pasa Cad. İle Hüseyin Ögütcen Kavşağı,Koku, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,6,M.Pasa Cad. İle Hüseyin Ögütcen Kavşağı,Demir (Fe),µg/L,"53,69",200
05.11.2025,6,M.Pasa Cad. İle Hüseyin Ögütcen Kavşağı,C.perfringens,Sayı/100 ml,0,0
05.11.2025,6,M.Pasa Cad. İle Hüseyin Ögütcen Kavşağı,C.perfringens,Sayı/100 ml,0,0
05.11.2025,6,M.Pasa Cad. İle Hüseyin Ögütcen Kavşağı,İletkenlik,µS/cm,594 (25 °C),2500
05.11.2025,6,M.Pasa Cad. İle Hüseyin Ögütcen Kavşağı,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
05.11.2025,7,65/17 Sok. No:45 Yumurtacı Ahmet Camii,Koku, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,7,65/17 Sok. No:45 Yumurtacı Ahmet Camii,C.perfringens,Sayı/100 ml,0,0
05.11.2025,7,65/17 Sok. No:45 Yumurtacı Ahmet Camii,C.perfringens,Sayı/100 ml,0,0
05.11.2025,7,65/17 Sok. No:45 Yumurtacı Ahmet Camii,pH, ,"7,5 (23 °C)","6,5-9,5"
05.11.2025,7,65/17 Sok. No:45 Yumurtacı Ahmet Camii,Klorür (Cl⁻),mg/L,29,250
05.11.2025,7,65/17 Sok. No:45 Yumurtacı Ahmet Camii,Alüminyum (Al),µg/L,"9,86",200
05.11.2025,7,65/17 Sok. No:45 Yumurtacı Ahmet Camii,Renk, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,7,65/17 Sok. No:45 Yumurtacı Ahmet Camii,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
05.11.2025,7,65/17 Sok. No:45 Yumurtacı Ahmet Camii,Tuzluluk,%0,0,---
05.11.2025,7,65/17 Sok. No:45 Yumurtacı Ahmet Camii,Demir (Fe),µg/L,"55,15",200
05.11.2025,7,65/17 Sok. No:45 Yumurtacı Ahmet Camii,İletkenlik,µS/cm,595 (25 °C),2500
05.11.2025,7,65/17 Sok. No:45 Yumurtacı Ahmet Camii,Arsenik (As),µg/L,"3,99",10
05.11.2025,7,65/17 Sok. No:45 Yumurtacı Ahmet Camii,Oksitlenebilirlik,mg/L O2,"0,6",5
05.11.2025,7,65/17 Sok. No:45 Yumurtacı Ahmet Camii,Koliform Bakteri, ,0,0
05.11.2025,7,65/17 Sok. No:45 Yumurtacı Ahmet Camii,Koliform Bakteri, ,0,0
05.11.2025,7,65/17 Sok. No:45 Yumurtacı Ahmet Camii,Nitrit (NO₂),mg/L,<0.13,"0,5"
05.11.2025,7,65/17 Sok. No:45 Yumurtacı Ahmet Camii,E.coli,Sayı/100 ml,0,0
05.11.2025,7,65/17 Sok. No:45 Yumurtacı Ahmet Camii,E.coli,Sayı/100 ml,0,0
05.11.2025,7,65/17 Sok. No:45 Yumurtacı Ahmet Camii,Bulanıklık, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,7,65/17 Sok. No:45 Yumurtacı Ahmet Camii,Toplam sertlik,Fr,30,---
05.11.2025,8,34.Sok. No:5 Tsm Güzelyalı,Koku, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,8,34.Sok. No:5 Tsm Güzelyalı,Nitrit (NO₂),mg/L,<0.13,"0,5"
05.11.2025,8,34.Sok. No:5 Tsm Güzelyalı,C.perfringens,Sayı/100 ml,0,0
05.11.2025,8,34.Sok. No:5 Tsm Güzelyalı,C.perfringens,Sayı/100 ml,0,0
05.11.2025,8,34.Sok. No:5 Tsm Güzelyalı,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
05.11.2025,8,34.Sok. No:5 Tsm Güzelyalı,Bulanıklık, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,8,34.Sok. No:5 Tsm Güzelyalı,Alüminyum (Al),µg/L,"9,48",200
05.11.2025,8,34.Sok. No:5 Tsm Güzelyalı,E.coli,Sayı/100 ml,0,0
05.11.2025,8,34.Sok. No:5 Tsm Güzelyalı,E.coli,Sayı/100 ml,0,0
05.11.2025,8,34.Sok. No:5 Tsm Güzelyalı,Toplam sertlik,Fr,28,---
05.11.2025,8,34.Sok. No:5 Tsm Güzelyalı,Oksitlenebilirlik,mg/L O2,"0,6",5
05.11.2025,8,34.Sok. No:5 Tsm Güzelyalı,Demir (Fe),µg/L,"55,48",200
05.11.2025,8,34.Sok. No:5 Tsm Güzelyalı,pH, ,"7,5 (23 °C)","6,5-9,5"
05.11.2025,8,34.Sok. No:5 Tsm Güzelyalı,Tuzluluk,%0,0,---
05.11.2025,8,34.Sok. No:5 Tsm Güzelyalı,Klorür (Cl⁻),mg/L,28,250
05.11.2025,8,34.Sok. No:5 Tsm Güzelyalı,Arsenik (As),µg/L,"3,98",10
05.11.2025,8,34.Sok. No:5 Tsm Güzelyalı,Renk, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,8,34.Sok. No:5 Tsm Güzelyalı,Koliform Bakteri, ,0,0
05.11.2025,8,34.Sok. No:5 Tsm Güzelyalı,Koliform Bakteri, ,0,0
05.11.2025,8,34.Sok. No:5 Tsm Güzelyalı,İletkenlik,µS/cm,601 (25 °C),2500
05.11.2025,9,İnönü Cad. İle 100 Sok. Kavşağı,Alüminyum (Al),µg/L,"7,96",200
05.11.2025,9,İnönü Cad. İle 100 Sok. Kavşağı,Koliform Bakteri, ,0,0
05.11.2025,9,İnönü Cad. İle 100 Sok. Kavşağı,Koliform Bakteri, ,0,0
05.11.2025,9,İnönü Cad. İle 100 Sok. Kavşağı,Koku, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,9,İnönü Cad. İle 100 Sok. Kavşağı,C.perfringens,Sayı/100 ml,0,0
05.11.2025,9,İnönü Cad. İle 100 Sok. Kavşağı,C.perfringens,Sayı/100 ml,0,0
05.11.2025,9,İnönü Cad. İle 100 Sok. Kavşağı,Nitrit (NO₂),mg/L,<0.13,"0,5"
05.11.2025,9,İnönü Cad. İle 100 Sok. Kavşağı,Arsenik (As),µg/L,"1,48",10
05.11.2025,9,İnönü Cad. İle 100 Sok. Kavşağı,Toplam sertlik,Fr,24,---
05.11.2025,9,İnönü Cad. İle 100 Sok. Kavşağı,Bulanıklık, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,9,İnönü Cad. İle 100 Sok. Kavşağı,E.coli,Sayı/100 ml,0,0
05.11.2025,9,İnönü Cad. İle 100 Sok. Kavşağı,E.coli,Sayı/100 ml,0,0
05.11.2025,9,İnönü Cad. İle 100 Sok. Kavşağı,İletkenlik,µS/cm,515 (25 °C),2500
05.11.2025,9,İnönü Cad. İle 100 Sok. Kavşağı,Klorür (Cl⁻),mg/L,43,250
05.11.2025,9,İnönü Cad. İle 100 Sok. Kavşağı,Demir (Fe),µg/L,"69,99",200
05.11.2025,9,İnönü Cad. İle 100 Sok. Kavşağı,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
05.11.2025,9,İnönü Cad. İle 100 Sok. Kavşağı,pH, ,"7,7 (23 °C)","6,5-9,5"
05.11.2025,9,İnönü Cad. İle 100 Sok. Kavşağı,Tuzluluk,%0,0,---
05.11.2025,9,İnönü Cad. İle 100 Sok. Kavşağı,Oksitlenebilirlik,mg/L O2,"0,4",5
05.11.2025,9,İnönü Cad. İle 100 Sok. Kavşağı,Renk, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,10,Halilrıfatpaşa Cad. No:143/A,Toplam sertlik,Fr,32,---
05.11.2025,10,Halilrıfatpaşa Cad. No:143/A,Arsenik (As),µg/L,"4,12",10
05.11.2025,10,Halilrıfatpaşa Cad. No:143/A,Koliform Bakteri, ,0,0
05.11.2025,10,Halilrıfatpaşa Cad. No:143/A,Koliform Bakteri, ,0,0
05.11.2025,10,Halilrıfatpaşa Cad. No:143/A,Bulanıklık, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,10,Halilrıfatpaşa Cad. No:143/A,Klorür (Cl⁻),mg/L,25,250
05.11.2025,10,Halilrıfatpaşa Cad. No:143/A,Nitrit (NO₂),mg/L,<0.13,"0,5"
05.11.2025,10,Halilrıfatpaşa Cad. No:143/A,Demir (Fe),µg/L,"53,94",200
05.11.2025,10,Halilrıfatpaşa Cad. No:143/A,Tuzluluk,%0,"0,1",---
05.11.2025,10,Halilrıfatpaşa Cad. No:143/A,Alüminyum (Al),µg/L,"8,49",200
05.11.2025,10,Halilrıfatpaşa Cad. No:143/A,Koku, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,10,Halilrıfatpaşa Cad. No:143/A,E.coli,Sayı/100 ml,0,0
05.11.2025,10,Halilrıfatpaşa Cad. No:143/A,E.coli,Sayı/100 ml,0,0
05.11.2025,10,Halilrıfatpaşa Cad. No:143/A,C.perfringens,Sayı/100 ml,0,0
05.11.2025,10,Halilrıfatpaşa Cad. No:143/A,C.perfringens,Sayı/100 ml,0,0
05.11.2025,10,Halilrıfatpaşa Cad. No:143/A,pH, ,"7,5 (23 °C)","6,5-9,5"
05.11.2025,10,Halilrıfatpaşa Cad. No:143/A,İletkenlik,µS/cm,633 (25 °C),2500
05.11.2025,10,Halilrıfatpaşa Cad. No:143/A,Renk, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,10,Halilrıfatpaşa Cad. No:143/A,Oksitlenebilirlik,mg/L O2,"0,6",5
05.11.2025,10,Halilrıfatpaşa Cad. No:143/A,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
05.11.2025,11,Ulu Önder Cad. İle Gökdere Cad.Kavşağı,Demir (Fe),µg/L,"69,00",200
05.11.2025,11,Ulu Önder Cad. İle Gökdere Cad.Kavşağı,Arsenik (As),µg/L,"1,53",10
05.11.2025,11,Ulu Önder Cad. İle Gökdere Cad.Kavşağı,Bulanıklık, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,11,Ulu Önder Cad. İle Gökdere Cad.Kavşağı,Renk, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,11,Ulu Önder Cad. İle Gökdere Cad.Kavşağı,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
05.11.2025,11,Ulu Önder Cad. İle Gökdere Cad.Kavşağı,pH, ,"7,7 (23 °C)","6,5-9,5"
05.11.2025,11,Ulu Önder Cad. İle Gökdere Cad.Kavşağı,Toplam sertlik,Fr,22,---
05.11.2025,11,Ulu Önder Cad. İle Gökdere Cad.Kavşağı,Nitrit (NO₂),mg/L,<0.13,"0,5"
05.11.2025,11,Ulu Önder Cad. İle Gökdere Cad.Kavşağı,Koliform Bakteri, ,0,0
05.11.2025,11,Ulu Önder Cad. İle Gökdere Cad.Kavşağı,Koliform Bakteri, ,0,0
05.11.2025,11,Ulu Önder Cad. İle Gökdere Cad.Kavşağı,E.coli,Sayı/100 ml,0,0
05.11.2025,11,Ulu Önder Cad. İle Gökdere Cad.Kavşağı,E.coli,Sayı/100 ml,0,0
05.11.2025,11,Ulu Önder Cad. İle Gökdere Cad.Kavşağı,Tuzluluk,%0,0,---
05.11.2025,11,Ulu Önder Cad. İle Gökdere Cad.Kavşağı,Klorür (Cl⁻),mg/L,42,250
05.11.2025,11,Ulu Önder Cad. İle Gökdere Cad.Kavşağı,İletkenlik,µS/cm,509 (25 °C),2500
05.11.2025,11,Ulu Önder Cad. İle Gökdere Cad.Kavşağı,Koku, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,11,Ulu Önder Cad. İle Gökdere Cad.Kavşağı,C.perfringens,Sayı/100 ml,0,0
05.11.2025,11,Ulu Önder Cad. İle Gökdere Cad.Kavşağı,C.perfringens,Sayı/100 ml,0,0
05.11.2025,11,Ulu Önder Cad. İle Gökdere Cad.Kavşağı,Alüminyum (Al),µg/L,"8,48",200
05.11.2025,11,Ulu Önder Cad. İle Gökdere Cad.Kavşağı,Oksitlenebilirlik,mg/L O2,"0,4",5
05.11.2025,13,4058 Sok. İle 4056 Sok. Kavşağı,Arsenik (As),µg/L,"1,39",10
05.11.2025,13,4058 Sok. İle 4056 Sok. Kavşağı,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
05.11.2025,13,4058 Sok. İle 4056 Sok. Kavşağı,C.perfringens,Sayı/100 ml,0,0
05.11.2025,13,4058 Sok. İle 4056 Sok. Kavşağı,C.perfringens,Sayı/100 ml,0,0
05.11.2025,13,4058 Sok. İle 4056 Sok. Kavşağı,Nitrit (NO₂),mg/L,<0.13,"0,5"
05.11.2025,13,4058 Sok. İle 4056 Sok. Kavşağı,Koku, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,13,4058 Sok. İle 4056 Sok. Kavşağı,Klorür (Cl⁻),mg/L,42,250
05.11.2025,13,4058 Sok. İle 4056 Sok. Kavşağı,Oksitlenebilirlik,mg/L O2,"0,4",5
05.11.2025,13,4058 Sok. İle 4056 Sok. Kavşağı,Tuzluluk,%0,0,---
05.11.2025,13,4058 Sok. İle 4056 Sok. Kavşağı,Alüminyum (Al),µg/L,"10,06",200
05.11.2025,13,4058 Sok. İle 4056 Sok. Kavşağı,E.coli,Sayı/100 ml,0,0
05.11.2025,13,4058 Sok. İle 4056 Sok. Kavşağı,E.coli,Sayı/100 ml,0,0
05.11.2025,13,4058 Sok. İle 4056 Sok. Kavşağı,Bulanıklık, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,13,4058 Sok. İle 4056 Sok. Kavşağı,Toplam sertlik,Fr,22,---
05.11.2025,13,4058 Sok. İle 4056 Sok. Kavşağı,Demir (Fe),µg/L,"70,62",200
05.11.2025,13,4058 Sok. İle 4056 Sok. Kavşağı,pH, ,"7,7 (23 °C)","6,5-9,5"
05.11.2025,13,4058 Sok. İle 4056 Sok. Kavşağı,Koliform Bakteri, ,0,0
05.11.2025,13,4058 Sok. İle 4056 Sok. Kavşağı,Koliform Bakteri, ,0,0
05.11.2025,13,4058 Sok. İle 4056 Sok. Kavşağı,İletkenlik,µS/cm,508 (25 °C),2500
05.11.2025,13,4058 Sok. İle 4056 Sok. Kavşağı,Renk, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,14,Eski Izmir Cad. No:562/A Kahve,Tuzluluk,%0,0,---
05.11.2025,14,Eski Izmir Cad. No:562/A Kahve,Bulanıklık, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,14,Eski Izmir Cad. No:562/A Kahve,Toplam sertlik,Fr,22,---
05.11.2025,14,Eski Izmir Cad. No:562/A Kahve,Koku, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,14,Eski Izmir Cad. No:562/A Kahve,pH, ,"7,7 (23 °C)","6,5-9,5"
05.11.2025,14,Eski Izmir Cad. No:562/A Kahve,Renk, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,14,Eski Izmir Cad. No:562/A Kahve,E.coli,Sayı/100 ml,0,0
05.11.2025,14,Eski Izmir Cad. No:562/A Kahve,E.coli,Sayı/100 ml,0,0
05.11.2025,14,Eski Izmir Cad. No:562/A Kahve,İletkenlik,µS/cm,510 (25 °C),2500
05.11.2025,14,Eski Izmir Cad. No:562/A Kahve,Demir (Fe),µg/L,"69,02",200
05.11.2025,14,Eski Izmir Cad. No:562/A Kahve,Arsenik (As),µg/L,"1,32",10
05.11.2025,14,Eski Izmir Cad. No:562/A Kahve,Klorür (Cl⁻),mg/L,42,250
05.11.2025,14,Eski Izmir Cad. No:562/A Kahve,Koliform Bakteri, ,0,0
05.11.2025,14,Eski Izmir Cad. No:562/A Kahve,Koliform Bakteri, ,0,0
05.11.2025,14,Eski Izmir Cad. No:562/A Kahve,C.perfringens,Sayı/100 ml,0,0
05.11.2025,14,Eski Izmir Cad. No:562/A Kahve,C.perfringens,Sayı/100 ml,0,0
05.11.2025,14,Eski Izmir Cad. No:562/A Kahve,Oksitlenebilirlik,mg/L O2,"0,4",5
05.11.2025,14,Eski Izmir Cad. No:562/A Kahve,Nitrit (NO₂),mg/L,<0.13,"0,5"
05.11.2025,14,Eski Izmir Cad. No:562/A Kahve,Alüminyum (Al),µg/L,"10,27",200
05.11.2025,14,Eski Izmir Cad. No:562/A Kahve,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
05.11.2025,15,Abdullah Arda Meydanı No:29 Arkadaşlar Kahvesi,Nitrit (NO₂),mg/L,<0.13,"0,5"
05.11.2025,15,Abdullah Arda Meydanı No:29 Arkadaşlar Kahvesi,Koku, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,15,Abdullah Arda Meydanı No:29 Arkadaşlar Kahvesi,Renk, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,15,Abdullah Arda Meydanı No:29 Arkadaşlar Kahvesi,Oksitlenebilirlik,mg/L O2,"0,4",5
05.11.2025,15,Abdullah Arda Meydanı No:29 Arkadaşlar Kahvesi,pH, ,"7,7 (23 °C)","6,5-9,5"
05.11.2025,15,Abdullah Arda Meydanı No:29 Arkadaşlar Kahvesi,Tuzluluk,%0,0,---
05.11.2025,15,Abdullah Arda Meydanı No:29 Arkadaşlar Kahvesi,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
05.11.2025,15,Abdullah Arda Meydanı No:29 Arkadaşlar Kahvesi,Arsenik (As),µg/L,"2,64",10
05.11.2025,15,Abdullah Arda Meydanı No:29 Arkadaşlar Kahvesi,Demir (Fe),µg/L,"70,60",200
05.11.2025,15,Abdullah Arda Meydanı No:29 Arkadaşlar Kahvesi,E.coli,Sayı/100 ml,0,0
05.11.2025,15,Abdullah Arda Meydanı No:29 Arkadaşlar Kahvesi,E.coli,Sayı/100 ml,0,0
05.11.2025,15,Abdullah Arda Meydanı No:29 Arkadaşlar Kahvesi,Bulanıklık, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,15,Abdullah Arda Meydanı No:29 Arkadaşlar Kahvesi,İletkenlik,µS/cm,508 (25 °C),2500
